headword	raw_string	response	verification	comment	attempts
abandon	abandon v.	"{""headword"":""abandon"",""explanation"":""動詞「放棄、拋棄」。常用於指放棄計畫、信念或拋棄家人、寵物。常用搭配：abandon the plan (放棄計畫), abandon hope (放棄希望)。"",""entries"":[{""sentence"":""Due to the sudden storm, the captain ordered the crew to <target>abandon</target> the ship immediately to save the passengers' lives."",""translation"":""由於突如其來的風暴，船長命令船員立即棄船，以挽救乘客的生命。"",""explanation"":""動詞「拋棄、離開」。指在危險情況下離開某處。""},{""sentence"":""The homeless dog was <target>abandoned</target> by its previous owner in a park, but luckily, a kind family found it and took it home."",""translation"":""這隻流浪狗被之前的主人遺棄在公園裡，但幸運的是，一個善良的家庭發現了它並把它帶回家。"",""explanation"":""動詞「遺棄」。指不再照顧某人或某物。""},{""sentence"":""After several failed attempts to fix the old machine, the engineer decided to <target>abandon</target> the project and focus on a new design."",""translation"":""經過幾次嘗試修理這台舊機器失敗後，工程師決定放棄這個計畫，並專注於新的設計。"",""explanation"":""動詞「放棄」。指停止嘗試做某事。""}],""related_forms"":[""abandoned"",""abandonment""]}"	none		0
absolute	absolute adj.	"{""headword"":""absolute"",""explanation"":""形容詞「絕對的、完全的」。常用於強調程度。常考搭配：absolute silence (絕對安靜), absolute truth (絕對真理), absolute power (絕對權力)。"",""entries"":[{""sentence"":""The room fell into <target>absolute</target> <pattern>silence</pattern> when the teacher entered, as every student was focused on the upcoming exam results."",""translation"":""當老師走進來時，房間裡陷入了絕對的安靜，因為每個學生都專注於即將到來的考試結果。"",""explanation"":""形容詞「絕對的」。常用搭配 absolute silence (絕對的安靜)。""},{""sentence"":""While some people believe in luck, others argue that hard work is the <target>absolute</target> <pattern>truth</pattern> behind every successful career."",""translation"":""有些人相信運氣，而有些人則認為努力工作是每個成功事業背後的絕對真理。"",""explanation"":""形容詞「絕對的」。常用搭配 absolute truth (絕對的真理)。""},{""sentence"":""The king of the ancient empire had <target>absolute</target> <pattern>power</pattern> over his people, making decisions that affected the entire nation without any opposition."",""translation"":""古代帝國的國王對他的人民擁有絕對的權力，在沒有任何反對的情況下做出影響整個國家的決定。"",""explanation"":""形容詞「絕對的」。常用搭配 absolute power (絕對權力)。""}],""related_forms"":[""absolutely""]}"	none		0
absorb	absorb v.	"{""headword"":""absorb"",""explanation"":""動詞「吸收」。可用於實體（如海綿吸水）或抽象（如吸收知識、吸收衝擊）。常用搭配：absorb knowledge (吸收知識), absorb water (吸收水)。"",""entries"":[{""sentence"":""A sponge can <target>absorb</target> a large amount <pattern>of</pattern> water quickly, which makes it a very useful tool for cleaning the kitchen."",""translation"":""海綿能快速吸收大量的水，這使它成為清潔廚房的一個非常有用工具。"",""explanation"":""動詞「吸收」。指實體液體的吸收。""},{""sentence"":""The students were encouraged to read widely to <target>absorb</target> <pattern>new knowledge</pattern> and expand their understanding of the world around them."",""translation"":""學生們被鼓勵廣泛閱讀，以吸收新知識並擴展他們對周圍世界的理解。"",""explanation"":""動詞「吸收」。指心智上的吸收。""},{""sentence"":""The new sneakers are designed with a special sole that can <target>absorb</target> <pattern>the shock</pattern> of walking on hard surfaces, protecting the feet."",""translation"":""這款新運動鞋的鞋底設計特殊，能夠吸收在硬表面行走時的衝擊，保護足部。"",""explanation"":""動詞「吸收」。指能量或衝擊的吸收。""}],""related_forms"":[""absorption"",""absorbent""]}"	none		0
abstract	abstract adj.	"{""headword"":""abstract"",""explanation"":""形容詞「抽象的」。指非具體、非實體的概念。常用於描述藝術或複雜的理論。常用搭配：abstract art (抽象藝術), abstract concept (抽象概念)。"",""entries"":[{""sentence"":""For many students, the idea of justice is an <target>abstract</target> <pattern>concept</pattern> that is difficult to understand without real-life examples."",""translation"":""對於許多學生來說，正義的概念是一個抽象的概念，在沒有現實生活例子的情況下很難理解。"",""explanation"":""形容詞「抽象的」。常用搭配 abstract concept (抽象概念)。""},{""sentence"":""The gallery displayed various pieces of <target>abstract</target> <pattern>art</pattern>, using bold colors and strange shapes instead of painting realistic people or landscapes."",""translation"":""畫廊展出了各種抽象藝術作品，使用大膽的顏色和奇怪的形狀，而不是繪製寫實的人或風景。"",""explanation"":""形容詞「抽象的」。常用搭配 abstract art (抽象藝術)。""},{""sentence"":""Philosophy classes often discuss <target>abstract</target> <pattern>theories</pattern> about existence and morality, challenging students to think deeply and critically."",""translation"":""哲學課經常討論關於存在和道德的抽象理論，挑戰學生深入且批判性地思考。"",""explanation"":""形容詞「抽象的」。常用搭配 abstract theories (抽象理論)。""}],""related_forms"":[""abstraction""]}"	none		0
academic	academic adj.	"{""headword"":""academic"",""explanation"":""形容詞「學術的、學校的」。名詞「學者」。常用於描述與學校、研究或學習相關的事物。常用搭配：academic achievement (學術成就), academic performance (學術表現)。"",""entries"":[{""sentence"":""The university provides several scholarships for students who demonstrate exceptional <target>academic</target> <pattern>achievement</pattern> during their first year of study."",""translation"":""大學為在第一年學習中表現出卓越學術成就的學生提供多項獎學金。"",""explanation"":""形容詞「學術的」。常用搭配 academic achievement (學術成就)。""},{""sentence"":""Some parents are too focused on their children's <target>academic</target> <pattern>performance</pattern>, forgetting that social skills and emotional health are also important."",""translation"":""有些家長過於關注孩子的學術表現，而忘記了社交技巧和心理健康同樣重要。"",""explanation"":""形容詞「學術的」。常用搭配 academic performance (學術表現)。""},{""sentence"":""The professor is a well-known <target>academic</target> in the field of environmental science, having published many influential papers in international journals."",""translation"":""這位教授是環境科學領域著名的學者，在國際期刊上發表過許多有影響力的論文。"",""explanation"":""名詞「學者」。""},{""sentence"":""Students are encouraged to balance their <target>academic</target> <pattern>life</pattern> with extracurricular activities to develop a well-rounded personality."",""translation"":""學生被鼓勵在學業生活與課外活動之間取得平衡，以培養一個全面發展的性格。"",""explanation"":""形容詞「學術的/學校的」。常用搭配 academic life (學業生活)。""}],""related_forms"":[""academy"",""academia""]}"	none		0
accent	accent n.	"{""headword"":""accent"",""explanation"":""名詞「口音；重音」。指說話時的獨特發音方式。常用搭配：strong accent (強烈的口音), foreign accent (外國口音)。"",""entries"":[{""sentence"":""Even though she has lived in New York for ten years, she still speaks with a strong <target>accent</target> <pattern>from</pattern> her hometown."",""translation"":""儘管她在紐約住了十年，但她說話仍然帶著強烈的家鄉口音。"",""explanation"":""名詞「口音」。常用搭配 strong accent (強烈口音)。""},{""sentence"":""The tourist struggled to understand the local guide's thick <target>accent</target>, but he eventually understood the directions to the museum."",""translation"":""遊客很難理解當地導遊濃厚的口音，但最後他還是明白了去博物館的方向。"",""explanation"":""名詞「口音」。常用搭配 thick accent (濃厚的口音)。""},{""sentence"":""In English class, the teacher explained how to <target>accent</target> the correct syllable in a word to improve pronunciation and clarity."",""translation"":""在英文課上，老師解釋了如何對單字中的正確音節著重音，以提高發音和清晰度。"",""explanation"":""動詞「著重音」。""},{""sentence"":""The speaker's British <target>accent</target> made his presentation sound more formal and elegant to the international audience."",""translation"":""演講者的英國口音使他的演講對國際觀眾來說聽起來更正式且優雅。"",""explanation"":""名詞「口音」。常用搭配 British accent (英國口音)。""}],""related_forms"":[]}"	none		0
acceptance	acceptance n.	"{""headword"":""acceptance"",""explanation"":""名詞「接受、認同」。指接受某人、某事或接受某種狀態。常用搭配：social acceptance (社會認同), acceptance letter (錄取通知書)。"",""entries"":[{""sentence"":""After weeks of waiting and worrying, the student finally received an <target>acceptance</target> <pattern>letter</pattern> from her dream university in the United States."",""translation"":""經過數週的等待和擔心，這名學生終於收到了她夢想中的美國大學錄取通知書。"",""explanation"":""名詞「錄取通知書」。常用搭配 acceptance letter (錄取通知書)。""},{""sentence"":""The new policy faced initial resistance, but it eventually gained wide <target>acceptance</target> <pattern>among</pattern> the public after several successful trials."",""translation"":""新政策最初面臨阻力，但經過幾次成功的試驗後，最終在公眾中獲得了廣泛的認同。"",""explanation"":""名詞「認同、接受」。常用搭配 acceptance among (在...之中被認同)。""},{""sentence"":""Self-<target>acceptance</target> is the first step toward happiness, as it allows people to embrace their flaws and focus on their strengths."",""translation"":""自我認同是通往幸福的第一步，因為它讓人們能夠接納自己的缺點並專注於自己的優點。"",""explanation"":""名詞「接受」。常用搭配 self-acceptance (自我認同)。""}],""related_forms"":[""accept""]}"	none		0
access	access n./v.	"{""headword"":""access"",""explanation"":""名詞「進入、通路」；動詞「進入、獲取」。常用於描述進入物理空間或獲取數位資訊。常用搭配：have access to (有權進入/獲取), gain access to (獲取進入權限)。"",""entries"":[{""sentence"":""Students who have <target>access</target> <pattern>to</pattern> the school library can borrow up to five books at a time for their research."",""translation"":""有權進入學校圖書館的學生一次最多可以借五本書來進行研究。"",""explanation"":""名詞「通路、權限」。常用搭配 have access to (有權使用/進入)。""},{""sentence"":""The new password was changed to ensure that only authorized personnel could <target>access</target> the confidential files on the company's server."",""translation"":""新密碼被更改以確保只有授權人員才能進入公司伺服器上的機密文件。"",""explanation"":""動詞「進入、獲取」。指進入數位系統或檔案。""},{""sentence"":""The mountain village is very remote, and during the winter, heavy snow often blocks the only <target>access</target> <pattern>to</pattern> the town."",""translation"":""這個山村非常偏遠，而且在冬天，大雪經常阻塞通往小鎮的唯一通道。"",""explanation"":""名詞「通路」。指物理上的進入路徑。""},{""sentence"":""Many people in rural areas still lack <target>access</target> <pattern>to</pattern> basic healthcare services, making it difficult for them to receive timely treatment."",""translation"":""許多鄉村地區的人們仍然缺乏獲得基本醫療服務的管道，使他們難以獲得及時的治療。"",""explanation"":""名詞「獲取渠道」。常用搭配 lack access to (缺乏獲取...的渠道)。""}],""related_forms"":[""accessible""]}"	none		0
accidental	accidental adj.	"{""headword"":""accidental"",""explanation"":""形容詞「意外的、偶然的」。指非刻意為之的事物。注意與 intentional (刻意的) 相反。常用搭配：accidental death (意外死亡), accidental discovery (偶然發現)。"",""entries"":[{""sentence"":""The spill of coffee on the important document was completely <target>accidental</target>, and she apologized sincerely to her boss immediately."",""translation"":""咖啡灑在重要文件上的事完全是意外，她立即向老闆誠懇地道歉。"",""explanation"":""形容詞「意外的」。指非刻意發生的事。""},{""sentence"":""Many great scientific discoveries were <target>accidental</target>, such as when a scientist found a new medicine by mistake during an experiment."",""translation"":""許多偉大的科學發現是偶然的，例如科學家在實驗中不小心發現了一種新藥。"",""explanation"":""形容詞「偶然的」。常用搭配 accidental discovery (偶然發現)。""},{""sentence"":""The fire was caused by an <target>accidental</target> <pattern>leak</pattern> of gas in the old kitchen, which led to a quick evacuation of the building."",""translation"":""火災是由舊廚房中氣體的意外洩漏引起的，導致建築物迅速撤離。"",""explanation"":""形容詞「意外的」。常用搭配 accidental leak (意外洩漏)。""}],""related_forms"":[""accident"",""accidentally""]}"	none		0
accompany	accompany v.	"{""headword"":""accompany"",""explanation"":""動詞「陪同、伴隨」。常用於指人陪人，或某事伴隨著另一件事發生。常用搭配：be accompanied by (由...陪同/伴隨)。"",""entries"":[{""sentence"":""The young boy was <target>accompanied</target> <pattern>by</pattern> his parents as they visited the national museum for the first time during the summer break."",""translation"":""這個小男孩在暑假第一次參觀國家博物館時，由他的父母陪同。"",""explanation"":""動詞「陪同」。常用被動態 be accompanied by。""},{""sentence"":""The heavy rain was <target>accompanied</target> <pattern>by</pattern> strong winds, making it very dangerous for drivers to stay on the highway."",""translation"":""大雨伴隨著強風，使駕駛者留在高速公路上的情況變得非常危險。"",""explanation"":""動詞「伴隨」。指自然現象同時發生。""},{""sentence"":""The singer's beautiful voice was <target>accompanied</target> <pattern>by</pattern> a professional pianist, creating a wonderful atmosphere for the audience."",""translation"":""歌手優美的聲音由一名專業鋼琴家伴奏，為觀眾營造了美好的氛圍。"",""explanation"":""動詞「伴奏」。指音樂上的伴奏。""},{""sentence"":""She decided to <target>accompany</target> her friend to the doctor's office because her friend felt very nervous about the upcoming medical check-up."",""translation"":""她決定陪她的朋友去診所，因為她的朋友對即將到來的體檢感到非常緊張。"",""explanation"":""動詞「陪同」。""}],""related_forms"":[""accompaniment"",""accompanist""]}"	none		0
