headword	raw_string	response	verification	comment	attempts
aboard	aboard prep./adv.	"{""headword"": ""aboard"", ""explanation"": ""aboard 可作介系詞或副詞。作介系詞時，常指「在(船、飛機、火車等)上」，後接交通工具名詞。作副詞時，指「在船/飛機/火車上」，通常不接名詞。常考片語 all aboard (大家上車/船/飛機)。"", ""entries"": [{""sentence"": ""The students were excited to get <target>aboard</target> the high-speed train for their field trip to the science museum."", ""translation"": ""學生們興奮地登上高速列車，準備前往科學博物館進行校外教學。"", ""explanation"": ""介系詞用法，後接名詞，表示「登上/在...上」。""}, {""sentence"": ""After checking all the passengers, the flight attendant announced, \""Welcome <target>aboard</target>! Please find your seats and fasten your seatbelts.\"""", ""translation"": ""在檢查完所有乘客後，空服員宣布：「歡迎登機！請找到您的座位並繫好安全帶。」"", ""explanation"": ""副詞用法，表示「在交通工具上」，不接名詞。Welcome aboard 是常見的歡迎用語。""}], ""related_forms"": []}"	human		0
fake	fake adj./v./n.	"{""headword"": ""fake"", ""explanation"": ""形容詞「假的、偽造的」；動詞「偽造、假裝」；名詞「贗品、騙子」。常考用法：fake ID/news；fake a smile (假笑)。注意與 false, artificial 的區別：fake 側重於為了誤導或欺騙他人而刻意模仿的行為或複製品，如 fake jewelry (假珠寶) 或 fake an injury (裝受傷)；false 側重於不符合事實的錯誤狀態或是非天然的功能性配件，如 false accusations (指控不實) 或 false eyelashes (假睫毛)；而 artificial 則強調經由人力而非天然形成的過程，常用於中性的科技或材料描述，如 artificial intelligence (人工智慧) 或 artificial flavoring (人工香料)。"", ""entries"": [{""sentence"": ""The museum discovered that one of its most prized artifacts was a <target>fake</target> and had to remove it from display immediately."", ""translation"": ""博物館發現其最珍貴的文物之一是贗品，必須立即將其撤下展覽。"", ""explanation"": ""名詞「贗品」。指模仿真品製造的假貨。""}, {""sentence"": ""The detective quickly realized that the witness's alibi was <target>fake</target> after finding inconsistencies in their statement."", ""translation"": ""偵探在發現證人陳述中的不一致之處後，很快意識到證人的不在場證明是假的。"", ""explanation"": ""形容詞「假的、偽造的」。常用於描述不真實的事物。""}, {""sentence"": ""To avoid hurting her friend's feelings, she decided to <target>fake</target> <pattern>a smile</pattern> and pretend to enjoy the surprise party."", ""translation"": ""為了避免傷害朋友的感情，她決定假裝微笑，並假裝享受這個驚喜派對。"", ""explanation"": ""動詞「假裝」。常指刻意表現出不真實的情緒或行為。""}], ""related_forms"": [""faker""]}"	human		0
lock	lock n./v.	"{""headword"": ""lock"", ""explanation"": ""動詞「鎖上」；名詞「鎖」。動詞片語 lock up (鎖起來)；lock out (反鎖在外)。名詞片語 under lock and key (妥善保管)。"", ""entries"": [{""sentence"": ""Before leaving for the long holiday, she always remembers to <target>lock</target> all the doors and windows to ensure her apartment's safety."", ""translation"": ""在去長假之前，她總是記得鎖上所有的門窗，以確保公寓的安全。"", ""explanation"": ""動詞「鎖上」。常用搭配 lock the door/window。""}, {""sentence"": ""The old wooden chest had a rusty <target>lock</target> that made it difficult to open, hinting at forgotten treasures inside."", ""translation"": ""這個舊木箱上有一把生鏽的鎖，很難打開，暗示著裡面有被遺忘的寶藏。"", ""explanation"": ""名詞「鎖」。""}, {""sentence"": ""The mischievous children accidentally <target>locked</target> their parents <pattern>out</pattern> of the house, causing panic before they found the spare key."", ""translation"": ""調皮的孩子們不小心把父母反鎖在屋外，在他們找到備用鑰匙之前引起了一陣恐慌。"", ""explanation"": ""動詞片語 lock out 表「反鎖在外」。""}], ""related_forms"": [""locked"", ""unlock""]}"	human		0
majority	majority n.	"{""headword"": ""majority"", ""explanation"": ""名詞「大多數，大部分」。指一個群體中數量較大的一部分。常用片語 a majority of (大多數的...)。注意與 minority (少數) 相對。"", ""entries"": [{""sentence"": ""The <target>majority</target> <pattern>of</pattern> students voted for the class trip to the amusement park, showing a clear preference over the museum visit."", ""translation"": ""大多數學生投票支持班級旅行去遊樂園，顯示出對博物館參觀的明顯偏好。"", ""explanation"": ""名詞「大多數」。常用片語 a majority of + N (複數動詞或單數動詞依N而定)。""}, {""sentence"": ""Despite some opposition, the proposal was approved by a <pattern>slim</pattern> <target>majority</target> in the student council, indicating close voting results."", ""translation"": ""儘管有些反對，這項提案仍以學生會的微弱多數通過，顯示投票結果非常接近。"", ""explanation"": ""名詞「大多數」。常用形容詞：large/vast majority (絕大多數), slim/bare majority (微弱多數)。""}], ""related_forms"": [""major""]}"	human		0
mental	mental adj.	"{""headword"": ""mental"", ""explanation"": ""形容詞「心理的、精神的」。常用於描述與心智、思想相關的事物，如 mental health (心理健康)、mental illness (精神疾病)。注意與 physical (身體的) 相對。"", ""entries"": [{""sentence"": ""Maintaining good <target>mental</target> <pattern>health</pattern> is crucial for students to cope with academic pressure and daily challenges effectively."", ""translation"": ""維持良好的心理健康對學生有效應對學業壓力和日常挑戰至關重要。"", ""explanation"": ""形容詞「心理的、精神的」。常用搭配：mental health (心理健康)。""}, {""sentence"": ""Solving complex puzzles and reading challenging books are excellent ways to provide <target>mental</target> <pattern>exercise</pattern> and keep the brain active."", ""translation"": ""解決複雜的謎題和閱讀有挑戰性的書籍是提供心智鍛鍊並保持大腦活躍的絕佳方式。"", ""explanation"": ""形容詞「心智的」。常用搭配：mental exercise (心智鍛鍊)。""}, {""sentence"": ""The teacher observed that the student possessed exceptional <target>mental</target> <pattern>abilities</pattern>, allowing him to grasp difficult concepts quickly."", ""translation"": ""老師觀察到這名學生擁有卓越的心智能力，使他能快速理解困難的概念。"", ""explanation"": ""形容詞「心智的」。常用搭配：mental ability (心智能力)。""}], ""related_forms"": [""mentally"", ""mentality""]}"	human		0
microphone	microphone/mike n.	"{""headword"": ""microphone"", ""explanation"": ""名詞「麥克風」。常用縮寫為 mike。在公開演講、唱歌或錄音時使用。"", ""entries"": [{""sentence"": ""The speaker adjusted the <target>microphone</target> before starting his lecture, ensuring everyone in the large auditorium could hear him clearly."", ""translation"": ""演講者在開始演講前調整了麥克風，確保大禮堂裡的每個人都能清楚地聽到他的聲音。"", ""explanation"": ""名詞「麥克風」。常用動詞搭配：adjust, speak into。""}, {""sentence"": ""During the concert, the lead singer accidentally dropped his <target>mike</target>, but a crew member quickly handed him another one."", ""translation"": ""演唱會期間，主唱不小心掉了他的麥克風，但一名工作人員迅速遞給他另一個。"", ""explanation"": ""名詞「麥克風」的縮寫。""}, {""sentence"": ""For the outdoor event, they rented <pattern>wireless</pattern> <target>microphones</target> to allow the performers more freedom of movement on stage."", ""translation"": ""為了戶外活動，他們租用了無線麥克風，讓表演者在舞台上有更大的移動自由。"", ""explanation"": ""名詞「麥克風」。常用搭配：wireless microphone (無線麥克風)。""}], ""related_forms"": [""microphones""]}"	human		0
motel	motel n.	"{""headword"": ""motel"", ""explanation"": ""motel 作為名詞，指「汽車旅館」。它是一種專為開車旅行者設計的住宿設施，通常提供直接從停車場進入房間的便利。"", ""entries"": [{""sentence"": ""After a long day of driving, the family decided to stop at a <target>motel</target> by the highway for a much-needed rest before continuing their journey."", ""translation"": ""經過漫長一天的駕駛後，這家人決定在高速公路旁的一家汽車旅館停留，好好休息一下再繼續旅程。"", ""explanation"": ""名詞「汽車旅館」。通常位於公路旁，方便開車旅客入住。""}, {""sentence"": ""Unlike traditional hotels, <target>motels</target> typically offer direct access to rooms from the parking lot, catering to travelers with cars."", ""translation"": ""與傳統飯店不同，汽車旅館通常提供從停車場直接進入房間的通道，以迎合開車旅行者的需求。"", ""explanation"": ""名詞「汽車旅館」。強調其與飯店的區別，特別是停車和房間出入的便利性。""}], ""related_forms"": [""motels""]}"	human		0
opportunity	opportunity n.	"{""headword"": ""opportunity"", ""explanation"": ""名詞「機會」。常用於指有利於達成某事的時機或情況。注意搭配介系詞 for 或 to V。常考片語：take the opportunity (把握機會), miss an opportunity (錯失機會)。"", ""entries"": [{""sentence"": ""Studying abroad offers a unique <target>opportunity</target> <pattern>for</pattern> students to experience different cultures and improve their language skills."", ""translation"": ""出國留學為學生提供了體驗不同文化和提高語言技能的獨特機會。"", ""explanation"": ""名詞「機會」。常搭配介系詞 for + N 或 to + V。""}, {""sentence"": ""He <pattern>took</pattern> the <target>opportunity</target> <pattern>to</pattern> ask the professor about his research project after the lecture, gaining valuable insights."", ""translation"": ""他利用講座結束後的機會向教授詢問他的研究計畫，獲得了寶貴的見解。"", ""explanation"": ""名詞「機會」。片語 take the opportunity to V 表示「把握機會做某事」。""}], ""related_forms"": [""opportunities""]}"	human		0
opposite	opposite adj./n./prep./adv.	"{""headword"": ""opposite"", ""explanation"": ""形容詞「相反的；對面的」；名詞「相反的人/物」；介系詞「在...對面」；副詞「在對面」。詞性多變，需注意上下文。常考搭配：the opposite of (與...相反), on the opposite side (在對面)。"", ""entries"": [{""sentence"": ""Despite their similar appearances, the twins have completely <target>opposite</target> personalities; one is outgoing, and the other is shy."", ""translation"": ""儘管外表相似，這對雙胞胎的個性卻完全相反；一個外向，另一個害羞。"", ""explanation"": ""形容詞「相反的」。""}, {""sentence"": ""What he said was the exact <target>opposite</target> <pattern>of</pattern> what he truly believed, which confused everyone in the meeting."", ""translation"": ""他所說的與他真正相信的完全相反，這讓會議中的每個人都感到困惑。"", ""explanation"": ""名詞「相反的事物」。片語 the opposite of...。""}, {""sentence"": ""The new coffee shop is located directly <target>opposite</target> the main entrance of the university library, making it convenient for students."", ""translation"": ""這家新咖啡店就位於大學圖書館正門的對面，對學生來說很方便。"", ""explanation"": ""介系詞「在...對面」。""}, {""sentence"": ""She waved to her friend who was standing <target>opposite</target> on the other side of the street, waiting for the bus."", ""translation"": ""她向站在街對面等公車的朋友揮手。"", ""explanation"": ""副詞「在對面」。""}], ""related_forms"": []}"	human		0
seal	seal n./v.	"{""headword"": ""seal"", ""explanation"": ""動詞用法包括「密封」和「蓋章」，名詞則可指「印章」或「海豹」。動詞的密封用法及名詞的印章用法是常見考點，注意其介係詞搭配。"", ""entries"": [{""sentence"": ""The company decided to <target>seal</target> the confidential documents <pattern>in</pattern> an envelope before sending them to ensure privacy and security."", ""translation"": ""公司決定在寄送機密文件前將其密封在信封中，以確保隱私和安全。"", ""explanation"": ""動詞「密封」。常用搭配：seal sth in/with sth。""}, {""sentence"": ""After signing the contract, the lawyer <target>sealed</target> it <pattern>with</pattern> a special stamp to make it legally binding and official."", ""translation"": ""律師簽署合約後，用特殊印章蓋章，使其具有法律約束力並正式生效。"", ""explanation"": ""動詞「蓋章」。常用搭配：seal with a stamp/signature。""}, {""sentence"": ""The ancient letter still bore the king's <pattern>official</pattern> <target>seal</target>, indicating its authenticity and historical significance."", ""translation"": ""這封古老的信件上仍帶有國王的官方印章，表明其真實性和歷史意義。"", ""explanation"": ""名詞「印章」。常用搭配：official seal, break a seal (拆封)。""}, {""sentence"": ""A large grey <target>seal</target> was spotted basking on the rocks near the coastline, attracting many curious tourists."", ""translation"": ""一隻大型灰色海豹被發現在海岸線附近的岩石上曬太陽，吸引了許多好奇的遊客。"", ""explanation"": ""名詞「海豹」。""}], ""related_forms"": [""seals"", ""sealed"", ""sealing""]}"	human		0
